E,H_counts,H_checklist,H_flock,S_obs,H_true
0.05,1.8927977683705,1.9795545791639,0.00420916036234996,7.5625,3.18896871051222
0.1,2.3383332757809,2.49380889396573,0.00871540989458903,12.335,3.18896871051222
0.2,2.66008019131918,2.92226960668321,0.0167156931013651,18.8775,3.18896871051222
0.5,2.94070509014008,3.36710611004373,0.0391539870377785,29.5075,3.18896871051222
1,3.04603867118662,3.62904623141319,0.0733202280934897,37.745,3.18896871051222
2,3.11768199981837,3.80911754916147,0.135168454348829,45.2675,3.18896871051222
5,3.15775770709499,3.94784873409317,0.295519200366609,51.78,3.18896871051222
10,3.17286383912691,4.0016110871922,0.514684635732482,54.645,3.18896871051222
20,3.18195008273769,4.03786046178269,0.856890155615106,56.745,3.18896871051222
