column,beta_PI,se_PI,p_PI,N,r2,r2_within
(1) PI only,-0.0157489670796723,0.00369027392661083,2.05359248643122e-05,46371,0.310227116405422,0.000732595080105591
(2) + climate/socio,-0.0126939816645792,0.00362589196600773,0.000472309546417958,46371,0.337023258816989,0.0395519113018902
(3) full controls,-0.0125282806455923,0.00365508698915142,0.000619390270312376,46371,0.33719656909638,0.0398029842524974
