model,beta_PI,se,p,N,pct_per_sd
"Poisson FE, no effort (authors' logic)",-0.0233284719045726,0.0043119181227224,6.29436018186366e-08,45606,-9.15511509288801
+ offset log(birdwatchers)  [CPUE],0.0151346054449712,0.00547272572878084,0.00568425328636505,45606,6.42729588990605
offset + policy-documented counties,0.00552292300582652,0.00553331980933807,0.318220661483323,25245,2.29919020070393
offset + ln(hours) + policy-documented,0.00287493499298507,0.00484504614922493,0.552929424117784,25245,1.1903111202489
