county,ymkey,H_pub,S_rec,H_rec,H_qc
丁青县,2014-10,1.94591021537781,7,1.94591014905531,
丁青县,2022-08,1.7917594909668,6,1.79175946922805,
丁青县,2023-12,1.33224487304688,4,1.33224492243853,1.33224492243853
七星关区,2020-07,0.691416084766388,2,0.691416077617118,0.691416077617118
七星关区,2021-03,2.97137641906738,21,2.97137653996902,
七星关区,2022-02,1.3862943649292,4,1.38629436111989,
七星关区,2023-03,3.00115537643433,20,2.57905232483686,2.57905232483686
七星关区,2023-10,0.6931471824646,10,2.09985614296159,2.09985614296159
七星关区,2023-11,3.12984919548035,2,0.562335144618808,0
七星关区,2023-12,3.16162276268005,8,1.18792187461327,1.18792187461327
七星区,2014-05,2.0794415473938,8,2.07944154167984,
七星区,2021-09,2.21776103973389,12,2.21776113278648,2.21776113278648
七星区,2023-08,1.7820155620575,13,1.78201555853062,1.78201555853062
七星区,2023-10,2.32992720603943,14,2.33883602135349,2.33883602135349
七里河区,2021-01,2.36389684677124,14,2.50702643555742,2.50702643555742
七里河区,2021-05,2.28969478607178,13,2.00932474335487,2.00932474335487
七里河区,2021-09,1.60943794250488,5,1.6094379124341,
七里河区,2022-05,4.03283214569092,65,3.98692366431049,3.27503360452227
七里河区,2022-06,2.80450439453125,14,2.5993019270998,2.36938211969468
七里河区,2022-07,2.30258512496948,10,2.30258509299405,
七里河区,2023-08,2.49100255966187,12,2.33454910921257,2.30348849521927
七里河区,2023-12,0,1,0,
万宁市,2021-05,2.96939921379089,15,1.92085251964598,1.92085251964598
万宁市,2021-12,2.61923170089722,5,1.51245117846645,1.51245117846645
万宁市,2022-01,3.42131114006043,20,2.58745920529348,0
万宁市,2022-07,1.0986123085022,3,1.09861228866811,
万宁市,2023-01,3.15588736534119,20,2.47015036840895,2.36361593226878
万宁市,2023-02,3.71947550773621,53,2.85844539464315,2.65967071778191
万宁市,2023-07,2.99552369117737,13,2.31611392322149,2.31611392322149
万宁市,2023-08,3.74580788612366,18,2.43055142193582,0.989949053934139
万宁市,2023-11,2.94078826904297,10,1.90240143112727,1.90240143112727
万宁市,2023-12,2.7788987159729,47,2.85423275978196,2.47724628086738
万州区,2021-12,2.01998543739319,16,1.83710898067648,1.83710898067648
万州区,2022-05,2.07371640205383,16,2.07371633058888,2.07371633058888
万州区,2022-06,1.93954384326935,13,1.93954382335679,1.93954382335679
万州区,2022-09,1.99306869506836,25,1.99306864854104,1.99306864854104
万州区,2022-12,3.20477747917175,25,3.19603395987618,
万州区,2023-01,3.27804398536682,48,3.15950260697067,2.78002576862566
万州区,2023-02,3.06596446037293,18,2.87147611805487,
万州区,2023-03,1.16759765148163,21,1.16759765854643,0.268083982549817
万州区,2023-04,3.043137550354,22,3.01407728057137,
万州区,2023-05,3.10421991348267,31,3.05891267300449,2.88303356184674
万州区,2023-06,2.27186870574951,10,2.27186851269656,2.27186851269656
万州区,2023-07,3.20580577850342,26,3.20580571008975,
万州区,2023-08,3.10004615783691,33,3.10004624552529,2.97081321944363
万州区,2023-09,3.09813952445984,6,1.79175946922805,
万州区,2023-10,1.60943794250488,5,1.6094379124341,
万州区,2023-11,2.16395568847656,13,2.16395565688206,2.16395565688206
万州区,2023-12,1.97700619697571,9,2.02643880168033,2.02643880168033
万年县,2022-01,3.38792085647583,9,1.90803683450907,1.41274463686385
万柏林区,2023-08,2.3528003692627,5,1.6094379124341,
万源市,2023-07,3.74698543548584,51,3.77221720156559,
万源市,2023-10,4.11776399612427,59,3.97295158409401,
万秀区,2020-01,1.67219376564026,4,0.893744980546576,0.893744980546576
万秀区,2023-03,1.92392468452454,11,1.86337592835486,1.86337592835486
万秀区,2023-04,2.66119575500488,24,2.49954753330699,2.49954753330699
万秀区,2023-12,2.2861328125,9,1.8754347551313,1.8754347551313
万荣县,2022-01,2.39920425415039,12,2.39920429620262,2.01981499249295
三元区,2018-10,1.0986123085022,3,1.09861228866811,
三原县,2023-11,2.0794415473938,9,2.19722457733622,
三原县,2023-12,3.19336986541748,29,3.19336975114356,3.19336975114356
三台县,2023-02,1.7917594909668,2,0.693147180559945,
三台县,2023-07,2.5070264339447,14,2.50702643555742,2.50702643555742
三水区,2022-10,2.96044707298279,4,1.38629436111989,
三水区,2022-12,2.78046751022339,35,2.74172562296753,1.96295862578678
三水区,2023-01,2.88630080223084,67,3.17634734287845,3.0405188329182
三水区,2023-04,2.81079626083374,57,3.93343531735263,3.7985045625517
三水区,2023-05,3.44360280036926,36,3.1611536283708,2.63363542561471
三水区,2023-06,3.22911882400513,9,2.19722457733622,
三水区,2023-07,1.91016662120819,26,2.74962814380958,2.51215822837256
三水区,2023-08,3.21437668800354,34,2.8764813033492,1.7235432750772
三水区,2023-09,2.46271395683289,17,2.46271389398418,2.46271389398418
三水区,2023-11,1.79315805435181,53,3.6701843903433,2.99150146857535
三水区,2023-12,3.40119743347168,28,3.27277185416852,3.07522054805437
三江侗族自治县,2023-01,2.51689457893372,23,2.48706952958289,2.48706952958289
三江侗族自治县,2023-12,1.60943794250488,5,1.6094379124341,
三河市,2020-08,2.91409230232239,25,3.2188758248682,
三河市,2021-09,3.57232093811035,29,2.0062759062001,2.0062759062001
