county,ymkey,H_pub,S_rec,H_rec,H_qc
三河市,2021-10,3.62200498580933,70,3.60027135628145,3.60027135628145
三河市,2022-10,4.07753753662109,59,4.07753744390572,
三河市,2023-04,3.76829600334168,44,2.38333000310969,2.38333000310969
三河市,2023-05,3.86359071731567,31,3.40404043392911,3.40404043392911
三河市,2023-06,3.50758337974548,54,3.24815507789166,3.24815507789166
三河市,2023-07,3.6263861656189,47,3.84231987838456,3.84231987838456
三河市,2023-09,3.75422763824463,52,3.27566415493225,2.04927385974851
三河市,2023-10,2.67034506797791,12,1.58221243361795,1.58221243361795
三河市,2023-11,3.178053855896,23,3.13549421592915,
三河市,2023-12,3.04610347747803,28,3.22062257717415,
三都水族自治县,2016-05,0,1,0,
三门县,2023-02,1.93062841892242,16,1.16788385012502,0.687092027379972
三门县,2023-10,2.56494951248169,13,2.56494935746154,
三门县,2023-12,1.39552509784698,66,3.10777798306107,3.09737163637248
上城区,2015-05,2.49240136146545,3,1.03972077083992,1.03972077083992
上城区,2016-05,2.00191617012024,8,2.00191615383926,2.00191615383926
上城区,2016-08,1.43275713920593,5,1.43275705299709,1.43275705299709
上城区,2017-01,2.79497027397156,9,1.6170029699557,1.6170029699557
上城区,2019-03,2.13037061691284,10,2.13037062248152,2.13037062248152
上城区,2019-05,1.85603618621826,8,1.85603623441709,1.85603623441709
上城区,2020-01,1.94591021537781,1,0,
上城区,2020-03,2.42248344421387,15,2.42248334546207,2.42248334546207
上城区,2020-10,2.39789533615112,11,2.39789527279837,
上城区,2021-02,2.45229578018189,4,1.33217904021012,1.33217904021012
上城区,2021-03,3.37982892990112,33,3.15109821181698,2.50252510817698
上城区,2021-05,2.85131740570068,23,2.70722827129844,2.70722827129844
上城区,2021-06,2.16099071502686,7,1.90615474653985,1.90615474653985
上城区,2021-07,2.00180220603943,14,1.56464210960041,1.37191057878532
上城区,2021-08,1.0986123085022,3,1.09861228866811,
上城区,2022-01,3.73793339729309,48,3.28284430547724,2.13898640046238
上城区,2022-02,3.38755583763123,46,3.5787136772029,3.60246099284215
上城区,2022-03,2.92674612998962,54,3.26144776512563,3.23575242988165
上城区,2022-05,3.69936370849609,51,3.22752909278707,2.93840772999849
上城区,2022-07,3.16951847076416,23,2.91035468843545,2.91035468843545
上城区,2022-08,3.29752063751221,20,2.81283122353584,2.8034004489475
上城区,2022-09,3.19645380973816,31,2.83678389383469,2.81611459922721
上城区,2022-10,2.46035122871399,22,2.33663390897358,2.15433623944463
上城区,2022-11,3.56799149513245,35,3.23084618456805,2.93270149213935
上城区,2022-12,3.67997741699219,55,3.39508220544549,3.22188173986963
上城区,2023-01,3.4398500919342,53,3.07707039405599,3.07099953745782
上城区,2023-02,3.50151228904724,54,3.19572113095604,3.14423604783413
上城区,2023-04,3.53842258453369,33,2.89205918162933,2.88368786762603
上城区,2023-05,3.54209733009338,14,2.48221274102946,2.21540567503681
上城区,2023-07,3.13762092590332,23,2.63822963564063,2.44577816791872
上城区,2023-08,2.92326354980469,20,2.51188193035972,2.13083744543851
上城区,2023-09,1.38765382766724,27,1.25740962294047,1.25740962294047
上城区,2023-10,2.86241221427918,4,1.38629436111989,
上城区,2023-11,1.93962168693542,31,2.56454935128478,2.4387039827273
上城区,2023-12,2.06698870658875,35,3.04125421997581,2.76927736507907
上思县,2021-05,2.83321332931519,1,0,
上思县,2022-02,3.60000324249268,38,3.60000309695869,
上杭县,2021-02,3.13305115699768,23,2.81103560684327,2.81103560684327
上杭县,2022-07,3.44627809524536,18,2.89037175789617,
上杭县,2023-01,2.58217358589172,27,3.29583686600433,
上杭县,2023-07,3.43083906173706,46,3.38745082596241,1.47171187854734
上杭县,2023-08,2.99573230743408,20,2.97850842052724,
上杭县,2023-09,0.566085755825043,3,0.566085738959629,0.566085738959629
上杭县,2023-10,3.2689950466156,33,3.22588346698552,2.04300928258166
上林县,2022-05,3.61091780662537,37,3.61091791264423,
上栗县,2021-08,2.46865177154541,15,2.46865158489958,2.46865158489958
上栗县,2022-02,2.83954524993897,22,2.84129958520833,2.84129958520833
上栗县,2023-01,3.31611514091492,32,3.40759953230244,
上栗县,2023-06,2.30258512496948,10,2.30258509299405,
上虞区,2015-05,2.00606966018677,17,2.00606960872202,2.00606960872202
上虞区,2020-03,0,1,0,0
上虞区,2020-10,0,1,0,
上虞区,2021-05,0,1,0,
上虞区,2021-06,0,1,0,
上虞区,2021-08,2.04842925071716,14,1.90364417749899,1.86493074479386
上虞区,2021-09,2.22555685043335,46,2.19235887602478,2.18442504806356
上虞区,2021-11,2.09796404838562,44,1.64134312064393,1.52190028153551
上虞区,2022-01,4.00059652328491,54,3.98212783321211,3.98212783321211
上虞区,2022-02,2.01404571533203,42,3.64974344145053,2.51000761788726
上虞区,2022-03,2.35962295532227,39,1.63075095420108,1.57599215280157
上虞区,2022-06,2.7725887298584,9,2.19722457733622,
上虞区,2022-07,3.22350454330444,21,2.71180432079381,2.71180432079381
上虞区,2022-08,3.3007276058197,74,3.38197477582859,3.30056002767219
上虞区,2022-09,3.74665665626526,89,3.40209299204151,3.17945456650149
上虞区,2022-10,2.40385675430298,43,2.61125166259939,2.51533176795669
上虞区,2022-11,2.55753064155579,80,2.60631804535401,2.59001641471219
上虞区,2022-12,3.3242461681366,112,3.22123708981455,3.22123708981455
上虞区,2023-01,3.53974270820618,124,3.43759715778652,3.37276940655807
上虞区,2023-02,3.45874667167664,127,3.21231893793388,3.20313164689965
上虞区,2023-03,2.40894103050232,89,1.55701157323796,1.55701157323796
上虞区,2023-04,4.01579475402832,113,3.84718681088357,3.83458389668579
上虞区,2023-05,3.42861247062683,42,2.87819501055947,2.87819501055947
上虞区,2023-07,3.46318864822388,94,3.32741369608344,3.32741369608344
上虞区,2023-08,3.54551911354065,114,3.65739435881422,3.65739435881422
上虞区,2023-09,3.58014988899231,106,3.54485032102161,3.45286105314602
上虞区,2023-10,3.72243046760559,136,3.87256046014182,3.8702250164406
上虞区,2023-11,3.12680339813232,104,2.91114589958501,2.89524321774766
上虞区,2023-12,3.34852385520935,89,3.05143320165833,3.04328361818702
上街区,2021-02,2.77747464179993,18,2.71414963671947,
上街区,2022-01,2.08555197715759,13,2.08555205476047,2.08555205476047
上街区,2022-07,2.40088248252869,18,2.40088244834885,2.40088244834885
上街区,2023-01,1.0986123085022,3,1.09861228866811,
上高县,2023-01,3.0204758644104,11,2.37189981105004,
下城区,2020-09,2.97615694999695,11,2.11428194128655,2.11428194128655
下城区,2021-09,2.07465529441834,4,1.38629436111989,
下城区,2021-10,0.6931471824646,2,0.693147180559945,
下城区,2022-06,2.70194578170776,14,2.17294255113125,2.17294255113125
且末县,2023-06,0.530509650707245,4,0.530509630230027,0.530509630230027
且末县,2023-10,0,1,0,
丛台区,2017-01,1.32921528816223,14,1.3292152613441,1.3292152613441
丛台区,2017-08,0,1,0,0
丛台区,2020-02,1.7917594909668,6,1.79175946922805,
丛台区,2023-03,1.61867380142212,6,1.79175946922805,
东丽区,2022-05,2.39789533615112,11,2.39789527279837,
东丽区,2023-03,1.41443610191345,32,1.44919098183061,1.26230413026776
东丽区,2023-05,2.69640445709229,14,2.4455913304155,2.4455913304155
东丽区,2023-06,1.31166911125183,14,1.31166904749455,1.31166904749455
东丽区,2023-08,1.91133511066437,17,1.83194371931635,1.83194371931635
东丽区,2023-09,2.26140069961548,34,2.27198489482129,2.26140068164127
东丽区,2023-10,0.0477498583495617,5,1.6094379124341,
东丽区,2023-11,2.19722461700439,9,2.19722457733622,
东乌珠穆沁旗,2020-07,3.42431497573853,29,3.28981689101937,2.36938211969468
东乌珠穆沁旗,2021-09,1.0986123085022,3,1.09861228866811,
东乌珠穆沁旗,2022-08,2.39789533615112,10,2.30258509299405,
东乌珠穆沁旗,2023-07,2.68073129653931,25,2.73712301969384,2.67671646001104
东乌珠穆沁旗,2023-08,3.40735840797424,53,3.0087180356301,2.40820865928914
东乡区,2022-01,2.0794415473938,8,2.07944154167984,
东乡区,2023-05,2.30258512496948,10,2.30258509299405,
东乡族自治县,2021-08,0.6931471824646,2,0.693147180559945,
东乡族自治县,2023-06,0.955699920654297,3,0.955699891112534,0.955699891112534
东乡族自治县,2023-07,2.04319190979004,8,2.02622962299529,
东兰县,2023-01,1.67698776721954,6,1.67698777432242,1.67698777432242
东兰县,2023-10,1.60943794250488,5,1.6094379124341,
东兴区,2023-07,2.54670095443726,19,2.6195777496752,2.55339210208671
东兴区,2023-09,1.32966136932373,4,1.32966134885476,1.32966134885476
东兴区,2023-10,2.35984921455383,1,0,0
东兴市,2018-03,3.01649832725525,29,2.67830010804643,2.67830010804643
东兴市,2021-01,2.8881049156189,4,1.38629436111989,
东兴市,2021-08,2.40554714202881,45,3.7845576133379,
东兴市,2022-02,3.49713635444641,29,3.36729582998647,
东兴市,2023-01,2.19530415534973,99,2.05955107026988,1.67510057477634
东区,2022-06,2.81782984733582,8,1.95282292538619,1.95282292538619
东区,2022-12,1.7917594909668,27,2.68907979955543,2.68907979955543
东区,2023-01,3.32182383537293,42,2.24383402321881,2.16849172951747
东区,2023-03,2.83154439926147,52,3.72746407231495,2.15778830790579
东区,2023-04,3.4659640789032,66,3.15526259813156,2.66188159303977
东区,2023-05,2.71296215057373,16,2.71296217305289,
东区,2023-07,2.73985195159912,23,2.99751485332216,
东区,2023-09,2.04319190979004,8,2.03071683138632,1.90615474653985
东区,2023-10,2.26963949203491,9,1.33182686480987,1.09201751759599
东区,2023-11,0,1,0,
东台市,2014-08,2.05835390090942,28,2.05835383919978,2.05835383919978
东台市,2014-10,1.50317251682282,15,1.50317245624479,1.50317245624479
东台市,2014-11,1.28159809112549,3,0.687092027379972,0.687092027379972
东台市,2015-01,1.91280138492584,21,1.82122638879531,1.82122638879531
东台市,2015-05,1.72633922100067,81,1.83419792480001,1.83419792480001
东台市,2015-10,0.6931471824646,2,0.693147180559945,
东台市,2015-11,0,1,0,
东台市,2017-08,2.62645292282105,30,3.3892680315458,3.3892680315458
东台市,2017-10,4.76523542404175,22,3.09104245335831,
东台市,2018-09,2.499671459198,18,1.29590575773561,1.29590575773561
东台市,2018-10,2.60700368881226,83,2.30890689765436,2.30890689765436
东台市,2019-04,1.65777969360352,54,3.98898404656428,
东台市,2019-08,4.22867155075073,19,2.6559437232354,2.6559437232354
东台市,2019-09,2.29451608657837,116,3.17484102745188,3.16523254372804
东台市,2019-10,3.05356001853943,164,3.14351515790977,2.92440611903235
东台市,2020-03,1.57625579833984,8,1.62193333466765,1.62193333466765
东台市,2020-04,2.25472807884216,42,1.45398412977521,1.45398412977521
东台市,2020-08,3.22876954078674,3,1.09861228866811,
东台市,2020-09,3.11236143112183,95,2.92265562201653,2.89418537280167
东台市,2020-10,3.84969639778137,98,3.5121030354574,3.48782136528348
东台市,2020-12,1.71778082847595,82,4.40671924726424,
东台市,2021-02,0,1,0,
东台市,2021-04,3.12617325782776,12,2.20662686038861,2.20662686038861
东台市,2021-05,4.10347270965576,207,4.09039454775726,3.94090247788633
东台市,2021-09,4.12156867980957,142,3.51568401739516,3.24015406932837
东台市,2021-10,3.83191990852356,135,3.8579597589104,3.85513517202212
东台市,2022-01,2.36177897453308,71,2.38130519185726,2.38130519185726
东台市,2022-08,1.99226534366608,91,3.12382525474554,2.62715379383193
东台市,2022-09,4.34432315826416,91,4.41010539015682,4.13722223396718
东台市,2022-11,2.82433652877808,75,2.83307281003901,2.83307281003901
东台市,2023-01,1.6498441696167,50,1.24890832850541,1.24645876217837
东台市,2023-02,2.30081081390381,28,1.85101010692333,1.85101010692333
东台市,2023-03,2.51368522644043,66,1.93809827900056,1.93809827900056
东台市,2023-04,3.56999278068543,97,3.03580052510897,3.0276940920658
东台市,2023-05,3.97002387046814,160,4.20701699171876,4.1043502263862
东台市,2023-06,4.15987777709961,1,0,
东台市,2023-07,2.59986066818237,3,1.09861228866811,
东台市,2023-08,3.73760223388672,119,3.74444370109998,3.60732464623495
东台市,2023-09,3.4169487953186,139,3.315410067373,3.25566735264219
东台市,2023-10,3.8233015537262,143,3.22624960797444,3.0667825914913
东台市,2023-11,2.62687158584595,70,2.39336468580296,2.33326474307599
东台市,2023-12,2.51858592033386,108,2.8814485898494,2.80984331318545
东坡区,2023-05,1.71135437488556,12,1.71135442868676,1.71135442868676
东城区,2014-01,1.94591021537781,7,1.94591014905531,
东城区,2014-08,2.94466519355774,29,2.94466518683405,2.94466518683405
东城区,2014-09,1.7917594909668,6,1.79175946922805,
东城区,2014-10,1.3862943649292,1,0,
东城区,2014-12,0.636514186859131,2,0.636514168294813,
东城区,2015-01,2.50687956809998,6,1.79175946922805,
东城区,2015-05,1.7917594909668,6,1.79175946922805,
东城区,2016-05,2.4580078125,19,2.25168573340695,2.25168573340695
东城区,2016-09,2.45481276512146,19,2.45481275864989,2.22852088677108
东城区,2017-01,1.3862943649292,4,1.33217904021012,
东城区,2017-11,1.31205523014069,10,2.01314027044261,1.92390129546405
东城区,2017-12,2.97613883018494,12,2.45831132968308,
东城区,2018-01,1.99829804897308,16,1.62174153908598,1.62174153908598
东城区,2018-02,2.56494951248169,13,2.56494935746154,
东城区,2018-04,2.0455641746521,2,0.500402423538188,0
东城区,2018-08,1.28781723976135,1,0,
东城区,2018-11,2.25520539283752,4,1.38629436111989,
东城区,2019-03,2.75865483283997,32,2.65848854834341,2.65848854834341
东城区,2019-04,2.26924514770508,22,2.74943894369403,2.56295799220801
东城区,2019-05,2.71562147140503,6,1.74806734854609,
东城区,2019-06,1.67208099365234,22,2.01985427235511,2.00745243917372
东城区,2019-10,2.30933785438538,22,2.04081297910055,1.90924721420697
东城区,2019-11,2.23775720596313,8,2.04319187054512,
东城区,2019-12,2.26070547103882,11,1.29422608452967,1.17106188516137
东城区,2020-01,2.32467460632324,7,0.624703654987096,0.624703654987096
东城区,2020-03,2.91255140304565,43,2.4518276787052,2.4518276787052
东城区,2020-04,2.9900426864624,26,3.12684613194537,2.95125161136269
东城区,2020-05,3.19466352462769,48,3.2333316323054,3.17763450035487
东城区,2020-06,3.12170314788818,1,0,
东城区,2020-07,2.93441987037659,13,2.19728241748306,1.54316307380735
东城区,2020-08,3.34311628341675,14,2.63905732961526,
东城区,2020-09,2.85753297805786,22,2.93296209470882,1.74786809746676
东城区,2020-10,3.0323224067688,21,1.77759131772401,1.66710646144221
东城区,2020-11,3.00298261642456,11,2.35167330190463,
东城区,2020-12,2.88910412788391,29,2.80361372683714,2.30402581738397
东城区,2021-01,2.51473569869995,147,3.9557635242892,3.8422851565575
东城区,2021-02,2.56680965423584,26,2.87444166145274,2.29568535952299
东城区,2021-03,3.16937160491943,56,2.92112886582318,2.878783690862
东城区,2021-04,1.14939737319946,36,2.72594389026527,2.50337063500126
东城区,2021-05,3.40111970901489,74,3.55361170448017,2.86646719867441
东城区,2021-06,2.66000509262085,16,2.69888099851736,
东城区,2021-07,2.01967287063599,1,0,
东城区,2021-08,2.60820150375366,28,2.57429260008172,1.98026484902897
东城区,2021-09,3.3594765663147,23,3.03151464803098,1.74786809746676
东城区,2021-10,2.8111400604248,51,2.61352926621985,2.48389109077193
东城区,2021-11,2.86665034294128,37,2.85972856670118,2.62211931499773
东城区,2021-12,2.71904039382935,30,3.23199421893266,
东城区,2022-01,2.74030423164368,81,3.01399982453168,2.89681734198695
东城区,2022-02,3.07464194297791,56,3.11892170046467,2.91779213276904
东城区,2022-03,3.08031487464905,57,3.34888040535278,3.22064431310169
东城区,2022-04,3.27810621261597,73,2.95719603516999,2.70374896715311
东城区,2022-05,3.25377702713013,92,3.48007193321139,2.92764665940692
东城区,2022-06,2.64890098571777,39,2.14097113263253,1.89567839147944
东城区,2022-07,2.46308588981628,37,2.65543427941259,2.49138064907725
东城区,2022-08,2.54405975341797,63,2.06658566774463,1.97440920420947
东城区,2022-09,2.70452189445496,66,2.63076915703679,2.32870740050143
东城区,2022-10,2.71856570243835,52,2.5451055410288,2.38469736046825
东城区,2022-11,2.57909274101257,43,2.55151889221938,2.29313718087133
东城区,2022-12,2.75040674209595,31,2.91138201464274,2.23308956004805
东城区,2023-01,2.73404788970947,60,2.82277179846429,2.72777971984609
东城区,2023-02,2.83947324752808,37,2.69503778575068,2.47297241791002
东城区,2023-03,2.7828152179718,53,2.81935713818961,2.62069820176094
东城区,2023-04,2.76562309265137,40,3.41053855318797,2.31315367873363
东城区,2023-05,3.2684006690979,108,3.60178169873955,3.08793601873862
东城区,2023-06,2.53832364082336,34,3.20984643286196,2.25385758960135
东城区,2023-07,2.27364349365234,29,1.78222480356686,1.48466639604412
东城区,2023-08,2.40212678909302,68,2.63235085528642,2.20279967448716
东城区,2023-09,2.9287428855896,92,2.95211783067859,2.39274988537198
东城区,2023-10,3.10194635391235,70,3.12126713574135,2.70532017997281
东城区,2023-11,2.88925123214722,55,2.73812581279317,2.59046439406067
东城区,2023-12,2.51538515090942,60,3.04092148963829,2.88668709367291
东安县,2016-05,2.23738145828247,16,2.28590538978483,2.28590538978483
东安县,2022-06,2.46034216880798,17,2.3916833367058,2.3191678729807
东安县,2022-07,3.37197947502136,5,1.6094379124341,
东安县,2022-08,0.6931471824646,2,0.693147180559945,
东安县,2022-12,2.95464324951172,21,3.01494688017959,2.5993019270998
东安县,2023-04,3.54414868354797,22,3.03267305316443,
东宝区,2022-08,1.2468296289444,6,1.24682964154851,1.24682964154851
东宝区,2023-07,1.14288520812988,8,1.14288523045379,1.14288523045379
东山区,2022-08,1.0986123085022,3,1.09861228866811,
东山县,2017-05,3.47688770294189,39,3.66356164612964,
东山县,2021-06,2.44272994995117,27,3.28269399727807,
东山县,2021-07,2.97850847244263,19,2.91249440333105,2.91249440333105
东山县,2022-07,1.52373874187469,1,0,
东山县,2022-08,1.97300136089325,7,1.94591014905531,
东山县,2023-01,3.71272993087769,41,3.61094414784413,0.500402423538188
东山县,2023-03,0.6931471824646,3,1.09861228866811,
东山县,2023-07,1.46103870868683,6,1.4610386471737,1.4610386471737
东山县,2023-12,3.03335356712341,25,3.03335361227621,3.03335361227621
东平县,2023-07,3.19843721389771,26,3.14967189810388,
东方市,2021-03,3.45292544364929,2,0.693147180559945,
东方市,2022-01,2.82788777351379,91,3.29049941902567,3.21995002850843
东方市,2022-02,2.38077902793884,28,1.89883321193014,1.72280460720897
东方市,2022-03,3.05533647537231,5,1.58109375017182,1.58109375017182
东方市,2023-01,2.73727607727051,47,2.81121717222284,2.7616360086906
东方市,2023-02,3.57703924179077,72,3.60391096899659,3.39063459260536
东方市,2023-03,3.42818331718445,39,3.01777087693275,2.8905918312359
东方市,2023-10,3.33220458030701,26,3.25809653802148,
东方市,2023-11,3.61700773239136,40,3.65617644512866,
东方市,2023-12,3.05572199821472,44,2.92294240587113,2.77460753584562
东昌区,2023-08,2.56494951248169,13,2.54533713029225,
东昌区,2023-10,1.74786818027496,6,1.74786809746676,1.74786809746676
东昌府区,2018-02,1.89979434013367,5,1.36234951308346,1.36234951308346
东昌府区,2018-06,2.34009337425232,19,2.34009331480829,2.34009331480829
东昌府区,2018-08,2.08527708053589,17,2.08527701142268,2.08527701142268
东昌府区,2019-02,2.26965022087097,27,2.27537170501409,2.27537170501409
东昌府区,2020-10,2.19722461700439,9,2.19722457733622,
东昌府区,2021-01,1.61355876922607,11,1.61355879657743,1.61355879657743
东昌府区,2021-02,3.41363596916199,27,3.16177851689992,2.45820443278557
东昌府区,2021-07,2.89037179946899,18,2.89037175789617,
东昌府区,2021-09,2.63905739784241,14,2.63905732961526,
东昌府区,2022-01,3.13549423217773,23,3.13549421592915,
东昌府区,2023-01,3.19980907440186,23,2.18275127252432,1.28089442652175
东昌府区,2023-03,2.0794415473938,8,2.07944154167984,
东明县,2020-12,0.757206499576569,46,0.0798875002165597,0.0609704983669989
东明县,2021-01,0.648497104644775,40,1.02587834895161,1.02587834895161
东明县,2021-07,1.94591021537781,7,1.94591014905531,
东明县,2022-01,0.109031952917576,16,0.109031968359202,0.109031968359202
东明县,2023-01,0.118697062134743,20,0.111994315310004,0.111994315310004
东河区,2017-07,2.05993056297302,19,2.05993048285553,2.05993048285553
东河区,2022-07,1.94591021537781,7,1.94591014905531,
东洲区,2022-03,0.730235755443573,3,0.730235769344795,0.730235769344795
东洲区,2023-04,3.01494693756104,22,3.06252930025462,3.06252930025462
东洲区,2023-05,2.27186870574951,10,2.27186851269656,2.27186851269656
东洲区,2023-11,2.65932273864746,15,2.65932269770952,
东海县,2023-02,2.66612195968628,32,2.66612211469768,2.66612211469768
东海县,2023-04,1.00812172889709,5,1.0081217528602,1.0081217528602
东港区,2020-07,2.96493363380432,2,0.661563238157982,0.661563238157982
东港区,2020-10,3.40395593643189,3,0.556646903582107,0.556646903582107
东港区,2021-02,2.54868149757385,30,2.37846968220588,1.96672779738157
东港区,2021-03,2.34651756286621,24,2.63623265104077,2.40636775126597
东港区,2021-07,2.63712739944458,6,1.63416412048775,1.63416412048775
东港区,2021-09,3.88430047035217,41,3.56604745823401,
东港区,2021-10,2.21850514411926,37,1.96569119239403,1.96569119239403
东港区,2022-06,3.24843382835388,16,2.77258872223978,
东港区,2022-07,3.1573691368103,26,2.68537903994354,2.68537903994354
东港区,2022-08,3.52531361579895,73,3.07308673741876,3.07308673741876
东港区,2022-09,3.4317455291748,1,0,
东港区,2023-01,3.64466309547424,35,3.55534806148941,
东港区,2023-02,3.06787085533142,52,3.74885950701706,3.1374943619652
东港区,2023-03,1.13554072380066,26,1.4824985533252,1.30785791988906
东港区,2023-04,2.29513573646545,74,2.69933164529853,1.82653771193647
东港区,2023-05,3.00347876548767,90,4.33668750919192,
东港区,2023-06,3.94489669799805,68,3.83399065636584,3.42246240716817
东港区,2023-07,2.47375917434692,62,2.60186808831197,2.58043774343195
东港区,2023-08,3.46029019355774,86,3.24872659273025,2.86938232367103
东港区,2023-09,3.30502033233643,73,3.27768384437267,3.27768384437267
东港区,2023-10,3.12781572341919,29,3.22409021114578,2.04319187054512
东港区,2023-11,3.07162976264954,17,2.81335540450062,2.81335540450062
东港区,2023-12,3.08358526229858,39,2.18807859515869,1.06654759535514
东港市,2017-07,1.0986123085022,3,1.09861228866811,
东港市,2019-03,1.59950375556946,12,1.51170750172351,1.51170750172351
东港市,2020-01,1.57318210601807,6,1.40480174922167,1.40480174922167
东港市,2020-10,1.7917594909668,6,1.79175946922805,
东港市,2022-01,2.03623628616333,10,1.90277438924557,1.90277438924557
东港市,2022-02,1.95545876026154,11,1.40342921222086,1.40342921222086
东港市,2023-03,1.06918597221375,3,0.796311640173813,0.796311640173813
东港市,2023-04,1.68585288524628,74,1.75789143954047,1.73942620904652
东港市,2023-08,3.01005792617798,30,2.27908065067706,2.03122201450013
