component,r2,r2_within,delta_r2
County + year-month FE only,0.309721421715068,0,
FE + PSI,0.310227116405422,0.000732595080105591,0.000505694690353775
FE + controls (no PSI),0.336879377874716,0.039343472351589,0.0266522614692936
FE + controls + PSI (full),0.33719656909638,0.0398029842524974,0.00031719122166407
PSI unique increment over controls,0.00031719122166407,,
