label,beta_PI,se,p,N,pct_per_sd,r_visits_BN,r_visits_BT
"Authors' spec, visits-covered subsample (baseline)",-0.0084158491793734,0.00607598101542029,0.166232942327842,16235,-1.41624993019098,0.778993567171943,0.555241854570742
+ ln(checklists)  [visit-count proxy],-0.0019036707947256,0.0062014845032457,0.75890981787607,16235,-0.320356695168043,0.778993567171943,0.555241854570742
"+ ln(checklists), policy-documented counties",-0.000143480222831468,0.00675527449915774,0.983058927088003,8136,-0.0241453775178018,0.778993567171943,0.555241854570742
+ ln(birdwatchers) + ln(hours) + ln(checklists)  [all three],0.00601783654790381,0.00583959102990404,0.302934830577823,16235,1.0127035797835,0.778993567171943,0.555241854570742
