year,events,all_ones_share
2000,1,1
2002,5,0.4
2003,11,0.545454545454545
2004,7,0.142857142857143
2005,13,0.230769230769231
2006,16,0.5625
2007,51,0.470588235294118
2008,43,0.441860465116279
2009,37,0.567567567567568
2010,88,0.420454545454546
2011,134,0.507462686567164
2012,139,0.510791366906475
2013,144,0.583333333333333
2014,230,0.447826086956522
2015,702,0.33048433048433
2016,612,0.316993464052288
2017,720,0.475
2018,1269,0.433412135539795
2019,1903,0.507094062007357
2020,3478,0.4700977573318
2021,10734,0.462921557667226
2022,21829,0.469925328691191
2023,58836,0.471633013801074
2024,191851,0.398335166353055
2025,1,1
