sample,cleaning,outcome,effort,cluster,era,coef,se,p,N,est_pct,lo_pct,hi_pct
full,as_published,ShannonBD,authors,county,all,-0.0125282806455923,0.00365508698915142,0.000619390270312376,46371,-2.10830496264361,-3.31388416237467,-0.902725762912559
full,as_published,ShannonBD,explicit,county,all,0.00293205796021613,0.00314736390384356,0.351643575338738,46371,0.49341745472929,-0.544696403496296,1.53153131295488
full,as_published,SimpsonBD,authors,county,all,-0.00135078100860834,0.000811357178723861,0.0960781067996106,46371,-0.689149257835423,-1.50047732672854,0.122178811057698
full,as_published,SimpsonBD,explicit,county,all,0.000774142447067748,0.000802854564581116,0.335026394278623,46371,0.394956465523071,-0.407869294283655,1.1977822253298
full,as_published,lnRich,authors,county,all,-0.0255433601188043,0.00488336020139269,1.84048229360305e-07,45606,-10.5132862399245,-14.4527335251437,-6.57383895470542
full,as_published,lnRich,explicit,county,all,0.00132169062718672,0.00340783715876055,0.698171186813896,45606,0.543989194045386,-2.20514138201153,3.2931197701023
full,drop_corrupted,ShannonBD,authors,county,all,-0.0125138390648883,0.00365084687019764,0.000619333090501422,46353,-2.10587468053803,-3.31005533647786,-0.901694024598206
full,drop_corrupted,ShannonBD,explicit,county,all,0.00293232054005251,0.00314107811532709,0.350637670908456,46353,0.493461642626081,-0.542578936382937,1.5295022216351
full,drop_corrupted,SimpsonBD,authors,county,all,-0.00134994793195829,0.000809030380292131,0.0953303276328965,46353,-0.688724233977789,-1.49772558791993,0.120277119964356
full,drop_corrupted,SimpsonBD,explicit,county,all,0.000771953816321042,0.000800050558787739,0.334703849056847,46353,0.393839857245966,-0.406181997369357,1.19386171186129
full,drop_corrupted,lnRich,authors,county,all,-0.0254738547441457,0.00488344029508406,1.9867253893356e-07,45588,-10.4846788094377,-14.4241907069037,-6.5451669119717
full,drop_corrupted,lnRich,explicit,county,all,0.00136930000751666,0.00340864684958011,0.687931865811298,45588,0.563584542534624,-2.18619921783994,3.31336830290919
full,min2_birders,ShannonBD,authors,county,all,-0.0128489160111117,0.00405539505760168,0.00155913576631326,28052,-2.16226265655602,-3.49987786042064,-0.8246474526914
full,min2_birders,ShannonBD,explicit,county,all,-0.0020688709144191,0.00378437526837947,0.584662033271359,28052,-0.348157176497591,-1.59638030253436,0.900065949539179
full,min2_birders,SimpsonBD,authors,county,all,-0.00168826429353074,0.000691510688792865,0.0147268284537337,28052,-0.861328429628599,-1.55281430843687,-0.169842550820329
full,min2_birders,SimpsonBD,explicit,county,all,-0.000692948635397816,0.000696869491114885,0.320176389228236,28052,-0.353532537664616,-1.05037702653207,0.343311951202842
full,min2_birders,lnRich,authors,county,all,-0.0207562522902544,0.00467746655137665,9.66871906401524e-06,27571,-8.54298027278288,-12.3163314382916,-4.76962910727416
full,min2_birders,lnRich,explicit,county,all,-0.0010822729901344,0.00346481420637716,0.754803386640491,27571,-0.445448276268307,-3.24054271046721,2.3496461579306
policy_source,as_published,ShannonBD,authors,county,all,-0.00266082536958645,0.00382917504918957,0.487227597635449,26007,-0.447773440755479,-1.71077314640786,0.815226264896899
policy_source,as_published,ShannonBD,explicit,county,all,0.000779205307666036,0.00332698136217405,0.814852818426267,26007,0.131127523683668,-0.966230634968835,1.22848568233617
policy_source,as_published,SimpsonBD,authors,county,all,-0.000325538614300758,0.000849150571722836,0.701495342077119,26007,-0.166085170736354,-1.01520527667906,0.683034935206351
policy_source,as_published,SimpsonBD,explicit,county,all,0.000184167688046746,0.000839375366543732,0.826357670401943,26007,0.0939597349428542,-0.745385516535051,0.933304986420759
policy_source,as_published,lnRich,authors,county,all,-0.00930754840822983,0.00491865027887743,0.0586305389408044,25245,-3.8308554611669,-7.79877154537053,0.137060623036731
policy_source,as_published,lnRich,explicit,county,all,-0.00262365062196823,0.00350831524878053,0.454667169993109,25245,-1.07985753847639,-3.91004462534328,1.7503295483905
policy_source,drop_corrupted,ShannonBD,authors,county,all,-0.00257772107441173,0.00382881857635629,0.500888270584519,25996,-0.433788345522519,-1.69667047360852,0.829093782563484
policy_source,drop_corrupted,ShannonBD,explicit,county,all,0.000837822114766451,0.00332585924458184,0.801141052087008,25996,0.140991774716998,-0.955996269179595,1.23797981861359
policy_source,drop_corrupted,SimpsonBD,authors,county,all,-0.000305574359135762,0.000848267605012903,0.718718954741308,25996,-0.155899691711616,-1.00413686262342,0.692337479200189
policy_source,drop_corrupted,SimpsonBD,explicit,county,all,0.000199892745352156,0.000838251916279782,0.811551173272577,25996,0.10198243551562,-0.736239406005425,0.940204277036665
policy_source,drop_corrupted,lnRich,authors,county,all,-0.00921708884263129,0.00491826834566068,0.0611041768159997,25234,-3.79362358165483,-7.76123155715631,0.173984393846637
policy_source,drop_corrupted,lnRich,explicit,county,all,-0.00257563847216297,0.0035089394992411,0.463042197687984,25234,-1.06009641576,-3.89078709066479,1.7705942591448
policy_source,min2_birders,ShannonBD,authors,county,all,-0.00300417780944548,0.00426634106807079,0.48147480215527,14510,-0.505554047158583,-1.91274683515256,0.901638740835397
policy_source,min2_birders,ShannonBD,explicit,county,all,-0.000231572434180406,0.00400790327143359,0.953934590189031,14510,-0.0389698575570926,-1.36092056158019,1.282980846466
policy_source,min2_birders,SimpsonBD,authors,county,all,-0.000772721746254559,0.000750050390520511,0.303117002821694,14510,-0.394231644175439,-1.14425512442698,0.355791836076097
policy_source,min2_birders,SimpsonBD,explicit,county,all,-0.00050851943533456,0.000755429088836451,0.500983058491848,14510,-0.259439383010539,-1.01484136860136,0.495962602580278
policy_source,min2_birders,lnRich,authors,county,all,-0.00591523977345234,0.00467252057501795,0.205784847904893,14032,-2.43462914146167,-6.20399034671034,1.334732063787
policy_source,min2_birders,lnRich,explicit,county,all,-0.000877617589357221,0.00356073024680647,0.805361839512575,14032,-0.361215003945883,-3.23368570561128,2.51125569771952
policy_source,drop_corrupted,ShannonBD,explicit,省,all,0.000837822114766451,0.00468002595030916,0.859166233093088,25996,0.140991774716998,-1.40264917189811,1.68463272133211
policy_source,drop_corrupted,lnRich,explicit,省,all,-0.00257563847216297,0.00606791972085899,0.674468278514462,25234,-1.06009641576,-5.95513771630716,3.83494488478717
full,drop_corrupted,ShannonBD,explicit,county,pre,-0.0202192833439576,0.0121027314313506,0.0950601910371802,11406,-3.40257507163688,-7.39449135622165,0.589341212947898
full,drop_corrupted,ShannonBD,explicit,county,boom,0.000181052837481875,0.00349071107833759,0.958639158088164,34496,0.0304682347531893,-1.12089387531566,1.18183034482203
full,drop_corrupted,lnRich,explicit,county,boom,0.00087103350962057,0.00356528000560799,0.807012887674866,33904,0.358505089722542,-2.51763594020452,3.2346461196496
